text_review,clean_text,Rating,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
dua hari menginap di hotel ini saya ras cukup bagus kamar yang cukup luas kasur yang empuk bikin nyaman dan pendingin ruangan untuk menghilangkan panas menu sarapan yang variasi dengan rasa yang enak pelayanan yang ramah bagi semua tamu cekout dibantu oleh mas ezii,dua hari menginap di hotel ini saya ras cukup bagus kamar yang cukup luas kasur yang empuk bikin nyaman dan pendingin ruangan untuk menghilangkan panas menu sarapan yang variasi dengan rasa yang enak pelayanan yang ramah bagi semua tamu cekout dibantu oleh mas ezii,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
pelayanannya ramah lokasinya strategis room sama bathroomnya juga bersih dan wangi linennya fresh tidak nyesel kalau nginep disini thanks mas yusuf atas pelayanannya nextnya bakal ngajak keluarga buat nginep sih,pelayanannya ramah lokasinya strategis room sama bathroomnya juga bersih dan wangi linennya fresh tidak nyesel kalau nginep disini thanks mas yusuf atas pelayanannya nextnya bakal ngajak keluarga buat nginep sih,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
hotel nyaman buat istirahat kamar dan kamar mandinya bersih staffnya ramah baik sopan juga the best lah petugas kamar yang bernama mas yusuf juga membantu banget top lah terima kasih buat mas yusuf atas pelayananny,hotel nyaman buat istirahat kamar dan kamar mandinya bersih staffnya ramah baik sopan juga the best lah petugas kamar yang bernama mas yusuf juga membantu banget top lah terima kasih buat mas yusuf atas pelayananny,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
saya sangat puas dengan pengalaman menginap di hotel ini kamarnya bersih rapi dan terasa nyaman sejak pertama masuk kamar mandinya juga sangat bersih perlengkapannya lengkap dan air panas berfungsi dengan baik sangat direkomendasikan bagi yang mengutamakan kebersihan dan kenyamanan selama menginap thank you harper,saya sangat puas dengan pengalaman menginap di hotel ini kamarnya bersih rapi dan terasa nyaman sejak pertama masuk kamar mandinya juga sangat bersih perlengkapannya lengkap dan air panas berfungsi dengan baik sangat direkomendasikan bagi yang mengutamakan kebersihan dan kenyamanan selama menginap thank you harper,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
pelayanan dan fasilitas sangat nyaman makanan direstaurant nya enak enak bangett rekomend banget tq juga buat mba cs mba sherly yang sangat ramahh all off good,pelayanan dan fasilitas sangat nyaman makanan direstaurant nya enak enak bangett rekomend banget tq juga buat mba cs mba sherly yang sangat ramahh all off good,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kualitas Makanan & Restoran
bersih dan oke banget pelayanannya mulai dari check masuk breakfast sampai check keluar lancar thanks to mba sherly jg yang membantu kita recommend,bersih dan oke banget pelayanannya mulai dari check masuk breakfast sampai check keluar lancar thanks to mba sherly jg yang membantu kita recommend,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Pelayanan Staf & Keramahan
menginap disini nyaman banget sih lokasinya strategis kamarnya juga rapih serta kamar mandinya bersih staffnya juga ngebantu banget terimakasih mas yusuf bakalan balik lagi kesini sii,menginap disini nyaman banget sih lokasinya strategis kamarnya juga rapih serta kamar mandinya bersih staffnya juga ngebantu banget terimakasih mas yusuf bakalan balik lagi kesini sii,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
lokasinya strategis dan kamarnya nyaman sebelah kamar berisik terdengar sampe ke kamar saya tapi setelah saya komplain ke resepsionis langsung di tangani dengan baik dan tidak berisik lagi untuk menu sarapan juga variatif dan rasa enak terimakasih atas pelayanannya resepsionis yang responsifnya mba andin,lokasinya strategis dan kamarnya nyaman sebelah kamar berisik terdengar sampe ke kamar saya tapi setelah saya komplain ke resepsionis langsung di tangani dengan baik dan tidak berisik lagi untuk menu sarapan juga variatif dan rasa enak terimakasih atas pelayanannya resepsionis yang responsifnya mba andin,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
ngga pernah denger nama hotel ini sebelumnya walaupun saya tinggal di jakarta karena saudara menikah di hk tower kami disarankan wo untuk book kamar di hotel ini total 30 an kamar kebayang kan gimana riwehnya persiapan hampir 100 orang keluarga untuk resepsi jadi kami minta ke pihak hotel supaya setidaknya 2 3 kamar dari 30 an kamar yang sudah kami bayar lunas diijinkan untuk early check masuk dari jam 11 dan late check keluar jam 2 terutamq untuk para lansia dan yang dari luar kota hasilnya ditolak mentah mentah oleh pihak hotel ada saudara yang katanya punya akses ke manajemen hotel pun tetap ngga ditolak alhasil anggota keluarga numpuk di lobby yang kecil udah kayak pengungsi rohingya review lainnya lokasi dikelilingi kemacetan luar biasa terutama jika datang dari arah jorr keluar tol cawang halim kamar kecil tanpa karpet saya di suite room tetap ngga ada karpet air di kamar mandi tergenang karena lantainya cekung di tengah salah konstruksi koridor kamar karpet kebanyakan kusam dan kotor banyak dispenser karena kita ngga dikasih air mineral dalam kamar tapi galonnya kosong atau ngga ada galonnya fasilitas so so pool biasa banget breakfast jenis makanan lumayan variatif rasa b saja,ngga pernah denger nama hotel ini sebelumnya walaupun saya tinggal di jakarta karena saudara menikah di hk tower kami disarankan wo untuk book kamar di hotel ini total 30 an kamar kebayang kan gimana riwehnya persiapan hampir 100 orang keluarga untuk resepsi jadi kami minta ke pihak hotel supaya setidaknya 2 3 kamar dari 30 an kamar yang sudah kami bayar lunas diijinkan untuk early check masuk dari jam 11 dan late check keluar jam 2 terutamq untuk para lansia dan yang dari luar kota hasilnya ditolak mentah mentah oleh pihak hotel ada saudara yang katanya punya akses ke manajemen hotel pun tetap ngga ditolak alhasil anggota keluarga numpuk di lobby yang kecil udah kayak pengungsi rohingya review lainnya lokasi dikelilingi kemacetan luar biasa terutama jika datang dari arah jorr keluar tol cawang halim kamar kecil tanpa karpet saya di suite room tetap ngga ada karpet air di kamar mandi tergenang karena lantainya cekung di tengah salah konstruksi koridor kamar karpet kebanyakan kusam dan kotor banyak dispenser karena kita ngga dikasih air mineral dalam kamar tapi galonnya kosong atau ngga ada galonnya fasilitas so so pool biasa banget breakfast jenis makanan lumayan variatif rasa b saja,1,BUMN,Bintang 3,HarperJakartaMTHaryono,negative,Harga & Value for Money
hotel nya bagus kamar dan kamar mandi sangat bersih dan wangi sangat nyaman karna kebersihan cukup terjaga untuk staf nya pun ramah ramah sekali sangat rekomendasi untuk liburan maupun perjalanan bisnis,hotel nya bagus kamar dan kamar mandi sangat bersih dan wangi sangat nyaman karna kebersihan cukup terjaga untuk staf nya pun ramah ramah sekali sangat rekomendasi untuk liburan maupun perjalanan bisnis,5,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
