"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Joel Schmit","298","2025-12-18","5","We had a wonderful stay. The room was great as expected. Notably though the Pullman staff was excellent , staff was professional and kind . We were here for a large convention with international delegates staff spoke perfect english . And the Pullman was very accommodating and I highly recomend it for a small or very large group or convention. The breakfast and restaurant was also a highlight with so many options for every taste Western to Asian again staffed with friendly, attentive staff. Thank you Pullman you for a wonderful stay! Special thanks to all the staff, but also to Wulan, and Fadhel for making our stay memorable."
"2.","Beni Kusuma Atmaja","94","2025-12-18","5","Stay here for staycation with family after long trip. Good place and location because it was close to the shopping mall. Hotel give us surprise with cake of anniversary and have cooking class for kids on Sunday. Breakfast is amazing and very organized there, not like others when in weekend breakfast in hotel very crowded but in Pullman is very calm and organized. Appreciate with all staffs, and of course the food is amazing taste and even my kids love eating there (normally very picky). Recommended hotel to stay for family vacation."
"3.","salma","12","2025-12-01","4","I had a really good experience staying at Pullman Jakarta. The staff were nice and helpful but also not better than many other hotels I’ve been to in the city. The food was actually really good! We were served by Gabby the intern, who was helpful and charming throughout. I also appreciate that they have a spacious prayer room, though it’s located a bit far from the main area. One small downside is that the ballroom area can feel a little eerie at night when all the lights are turned off and no events are happening, and the restroom around the ballroom sometimes have a slight smell. The location is very easy to access with TransJakarta, and it’s directly connected to Central Park Mall. So if you ever get bored, you can easily go shopping or grab something to eat there. Overall, it’s a comfortable hotel with great service, delicious food, and a convenient location, just a few small things that could be improved."
"4.","Sohail Mikrani","10","2025-11-01","5","I had a wonderful experience. The staff were exceptionally friendly, professional, and always ready to assist with a smile. The check-in process was smooth, and my room was spacious, clean, and well-maintained with all the necessary amenities. they upgraded the room because i am a ALL Accor member. The breakfast buffet offered a wide variety of delicious local and international dishes. The hotel’s location was also very convenient, close to shopping malls, restaurants, and major attractions, making it easy to explore the city. What stood out most was the excellent service — every staff member made sure I felt comfortable and well taken care of throughout my stay. Overall, it was a delightful and comfortable experience, and I would highly recommend this hotel to anyone visiting Jakarta — whether for business or leisure."
"5.","Diandraa","3","2025-12-01","5","I had a wonderful experience in this hotel. The staff… THEY’RE so friendly, professional && always ready to assist with a smile. The check-in process was SMOOTH! Not to mention that my room was so well-maintained. I really had the best experience! It was a delightful and comfortable experience, and I would highly recommend this hotel for another purposes."
"6.","Dondy Khouw","280","2025-12-04","5","My recent stay at Pullman Jakarta Central Park was exceptional in many aspects. The hotel’s location is truly amazing—directly connected to Central Park Mall, making dining, shopping, and entertainment extremely convenient. The breakfast selection was excellent, offering a wide variety of high-quality dishes to suit every palate. The Executive Lounge was also a highlight, providing a comfortable space with great service and well-curated refreshments throughout the day. I would like to express my deepest gratitude to Duty Manager Ibu Indah, whose kindness and proactive assistance in handling special requests for my ill parents made our stay much more comfortable. Her professionalism and compassion were truly appreciated. Special thanks as well to Ibu Yosephine, Sam, Elise, and Felix for their attentive, friendly, and courteous service throughout our stay. Their warm hospitality consistently made us feel welcome. Overall, Pullman Jakarta Central Park delivers outstanding comfort, service, and convenience. Highly recommended for both leisure and business travelers."
"7.","Alfiyah Ilyas","1","2025-12-27","5","hai, kami dari kamar 535, big thanks untuk pullman spesialy untuk mbak Gita yg membantu merapihkan kamar kami, membantu kebutuhan kami selama menginap. Hotelnya bagus nyaman, dan bersih wangi. Kami extend 2 mlm dikarenakan memang hotelnya strategis. Merayakan akhir tahun di pullman sangat menyenangkan dekat dgn mall, dan makanan enak. Terima kasih see u the next trip"
"8.","Poppy Hadikusumah","43","2025-12-25","1","Kamarnya bagus, makananan enak, sayangnya beberapa hari lalu saya menginap 2 malam, namun ada jaket dan baju tertinggal di lemari kamar. Selisih beberapa jam setelah checkout saya konfirm kalau ada barang tertinggal. Tapi katanya cleaning servicemya barang tersebut tidak ada di kamar. Alias hilang. Lah kokbisa sekelas pullman begitu???"
"9.","Aurel Aurel","277","2025-12-11","1","Hotel Pullman terburuk yang pernah saya datangi. Mulai dari ukuran kamar yang super sempit. Tidak ada sekat antara tempat tidur dengan toilet dan shower room. Design kamar yang terlihat murahan. Handuk warnanya sudah menguning. Bantal, selimut dan kasur bau keringat. Belum lagi staff di front desk yang kurang ramah. Salah satu contoh kejadian, saat saya bertanya dimana tempat untuk mengambil welcome drink dan apakah masih bisa ambil welcome drink (saat itu sudah jam 18.30 wib), staff pria tersebut dengan wajah dingin dan males2an menjawab: Tanya aja kesana! Sambil menunjuk ke arah bar/lounge. Benefit room upgrade untuk Platinum member juga tidak bisa digunakan, dengan alasan yg tdk masuk akal: tidak ada tipe kamar di atas tipe kamar yang sudah saya booking (Deluxe Room). Like really?? Bayar 4 juta rupiah untuk menginap 2 malam (room only) tapi ga sebanding dengan pengalaman menginapnya. Satu2nya yang 'dijual' oleh hotel ini hanya lokasi yang tepat di area yang sama dengan Central Park Mall 1 dan 2 juga Mall Taman Anggrek. Sisanya nothing."
"10.","Yoshinori Kajitani","84","2025-12-11","5","I had a wonderful stay at Pullman Jakarta Central Park. The hotel’s location is excellent—right next to Central Park Mall, making it extremely convenient for dining, shopping, and getting around the city. The entire hotel features a stylish and contemporary interior, and the welcome sweets were a delightful touch that made me feel genuinely appreciated as an Accor Platinum member. Special thanks to Yoga Pratama, who provided excellent pre-arrival communication and arranged a seamless room upgrade. Their professionalism and attentive service made my stay exceptional. Highly recommended for anyone looking for a modern, well-located hotel with outstanding hospitality."
