User Name,Review Count,Rating,Review Text
Yenny Hong,6,5,pelayanan yang sangat ramah kamar hotel yang bersih sekamar kami ber 3 dengan anak di hari pertama minta extra handuk di hari kedua dst otomatis disediakan 3 handuk tanpa request lagi sungguh pelayanan yang baik kami pesan 2 kamar hanya kamar kedua ada sedikit bau rokok entah kenapa karena kami menginap 4 malam diberikan juga complimentary makan siang rasa makanannya enak sesuai selera anak2 senang menginap disini tapi syg kolam renangnya kecil dan ckp dangkal
Puteri Dwi Kusuma,274,5,lokasinya strategis banget dekat dengan lokasi wisata dan stasiun kereta dari awal masuk staff sudah ramah lobby hotel sangat nyaman karena kursinya benar benar banyak kamarnya oke tidak ada masalah nyaman handuk juga bersih tidak ada masalah hanya saja kamar mandinya tidak cepet kering setelah digunakan saya lebih suka yang kamar mandi cepat kering terus untuk saya kaca pembatas antara kamar mandi dan toilet nanggung banget 1 perbedaan ketinggian lantai hampir sama cuma beda tipis 2 kaca pembatas cuma 1 2 jadi klo mandi airnya bakal nyiprat ke area toilet mending dikasih pintu kaca sekalian buat kamar mandi terus untuk menu makanan hm lebih baik kalian masak yang kira kebanyakan orang suka oseng pare oseng terong bukan terong balado ya cuma terong di oseng oseng tok oseng brokoli menurutku masakan kalian kurang bervariasi untuk per sayur an dan per lauk kan mending kalau mau oseng oseng buncis tempe oseng jamur oseng jagung muda terong bisa kalian balado yang menggunggah selera lah intinya untuk pastry mereka lengkap ada roti tawar gandum sourdough croissant waffle kue lumpur dll ada jenang ada bubur
Muhammad Ichsan Nasution,7,5,lokasi sangat strategis sekali dekat kemana2 air juga tersedia di dispenser semakin mudah kalau butuh air masukannya menu sarapannya dibuat lebih variatif lagi contoh untuk live cooking bisa dibuat bervariasi menunya begitu juga dengan menu hidangan lain setiap hari tampilannya sama bisa dibuat lebih variatif untuk yang lainnya sudah oke
frdnsyh,1,5,sangat memuaskan kolam renangnya cukup besar dan terawat cocok untuk relaksasi pelayanannya sangat ramah dan profesional early check masuk oleh kak april memberikan kesan yang baik fasilitasnya lengkap dan kamar kamarnya bagus bersih serta nyaman untuk beristirahat
Cahaya Aja,1,5,so comfy pengalaman menginap di hotel ini sangat menyenangkan kamar yang bersih dan nyaman fasilitas yang lengkap dan pelayanan yang ramah dan profesional apalagi mbak april lokasinya juga strategis dekat dengan pusat kota dan tempat wisata sangat direkomendasikan untuk siapa saja yang mencari penginapan yang berkualitas
Zahwa Fanesa,1,5,hotelnya bagus kamar rapi dan bersih pegawai semua sangat ramah dan baik di resto perlengkapan keamanan resepsionis maupun housekeeping menu makanan beragam rasa makanan oke terimakasih khususnya untuk pelayanan mbak april yang sangat membantu
cindy purwaningrum,5,5,experience yang oke punya lokasi strategis dapat room di lantai 8 yang bisa lihat gn merapi kamar spacious dan bersih breakfast yang variance nya beragam dan always enak terimakasih kepada mbak arvel dan team resto yang sigap banget padahal lagi rush our di breakfast next akan kembali kesini
Liana Aprilianti,2,5,hotel harper malioboro yogyakarta memberikan pengalaman menginap yang sangat menyenangkan kamarnya bersih nyaman dan modern stafnya ramah serta responsif terhadap kebutuhan tamu lokasinya strategis dan mudah diakses dari pusat kota sarapan yang disajikan juga bervariasi dan lezat sangat direkomendasikan untuk perjalanan bisnis maupun liburan keluarga tidak lupa terima kasih atas pelayanannya mbak april
dhiena puspita,220,5,kamar nyaman makanan banyak variasi dengan rasa yang enak lokasi dekat kemana2 semua staff dari satpam resepsionis resto ramah dan sangat helpfull next pasti akan menginap lagi disini
Sally Marselina,4,5,"Saya baru-baru ini menginap di harper hotel malioboro dan itu benar-benar pengalaman yang memuaskan dari awal hingga akhir pelayanannya luar biasa setiap anggota staf ramah membantu dan benar-benar membuat saya merasa disambut kamarnya bersih, nyaman dan luas dengan suasana hangat yang memudahkan untuk bersantai setelah hari yang panjang di sekitar malioboro untuk harganya sejujurnya saya merasa nilainya sangat sepadan dengan harganya, terjangkau tetapi kualitasnya terasa di atas titik harga. yogyakarta awal yang sempurna untuk pagi hari secara keseluruhan harper hotel malioboro melebihi ekspektasi saya masuk dalam segala hal sangat direkomendasikan bagi siapa pun yang mencari layanan hebat kamar bagus dan makanan enak masuk jantung jogja pasti akan kembali"
