User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Nedya Hestika,2025,1,Tidak cocok untuk menjadi bintang 4 kalau interior jadul tapi terawat sih oke tapi ini tidak terawat cek masuk jam 3an bisa kamar sekitar jam 4 sore masuk kamar 1705 panas banget ky di sauna sampai sesak nafas rasanya padahal sudah ada kartu kunci yang terpasang sebelum masuk ditunggu beberapa menit masih panas tekhnisi masuk untuk benerin ternyata butuh waktu lumayan lama telepon ke resepsionis minta ganti kamar diminta menunggu konfirmasi sampao 3x telepon jawabannya masih sama padahal sudah 30 menit dibenerin tekhnisi itu ac masih bermasalah akhirnya memilih turun ke lobi masih diminta dan juga sudah jam 5 sore saya teman saya,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,negative,0.9930865168571472,Check in/out Experience,Check in/out Experience (0.65); Service Quality (0.63); Facilities & Amenities (0.50)
muky muky,2025,5,lainnya disini sangat menyenangkan kamar bersih fasilitas parkir kolam renang dan gym pelayanan sangat bagus lokasi strategis oh ya saat kedatangan dapat menyambut minum dan kue pelengkap saat sampe kamar sangat berharga,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9994329810142517,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Food & Beverage (1.00)"
gea:],2025,5,suka sekali menginap di hotel ini sudah 3 kali menginap di hotel ini lokasinya cukup strategis dekat dengan banyak tempat makan di lobi sebelah hotel ada w restoran alfamart dan kopi sebelah hotel ada mie gacoan dan di depan mall jg tidak jauh dari hotel tampak pula masjid agung dari hotel yang dapat ditempuh hanya dengan berjalan kaki sekitar 30 menit kamar di hotel ini bersih udara hangat lancar kolam renang bersih yang berada di lantai 8 dengan pemandangan kota yang kek dan yang tidak ketinggalan layanan dari staf yang ramah untuk sarapan menu cukup bervariasi dan enak juga,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9992616772651672,Service Quality,Service Quality (0.96); Facilities & Amenities (0.96); Service Efficiency & Responsiveness (0.87)
Arby Winton,2025,4,menginap dari tanggal 8 10 Desember 2025 menggunakan kamar non merokok tapi ada asbaknya bingung untuk ruang kamar cukup luas dengan tambahan sofa ac kamar juga dingin bisa minta sajadah udara panas juga cepat ada kolam juga dan menu sarapan cukup banyak dan cukup enak oia disini dapatnya 1 pax ya bukan 2 pax jadi pastiin yang mau menginap tolong 1 atau 2 pax berbeda dengan hotel lain untuk lokasi di bawah ada resto aw ada ada alfamart sebelah ada depan counter samsung dan ada mie gacoan namun untuk ke kota tengah cukup jauh sekitar 8 10 kilometer,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9934754967689514,Facilities & Amenities,Facilities & Amenities (0.95); Food & Beverage (0.85); Service Quality (0.83)
Lia Khanifa,2025,5,kamar kurang kedap suara soalnya kedengeran gedebak gedebuk dari kamar sebelah lantai licin kalau kekuar kamar mandi harus bener2 kering kaki nya kebetulan ac kamar kita kemarin mati dan panas tapi gercep waktu laporan kendala ac bapak2 teknik nya juga lsg benerin cuma ruang ac nya masuk ke dalam kamar jadi agak tidak nyaman saja soalnya lumayan lama benerinnya,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,negative,0.9918720126152039,Service Quality,Service Quality (0.71); Complaint Handling & Service Recovery (0.53); Facilities & Amenities (0.52)
Defa,2026,5,kamar sangat nyaman layanan terbaik lokasi yang sangat mudah untuk dikunjungi cocok untuk tempat istirahat setelah melakukan perjalanan bisnis dengan pemandangan kota surabaya,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.999093770980835,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (1.00); Service Quality (0.99)
Widia Devi,2025,5,resepsionisnya ada satu cewek yang biasa saja ngga begitu ramah kamar lumayan oke cuma viewnya saja ke sawah saya pingin yang view ke jalan raya,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.8797139525413513,Guest Experience,Guest Experience (0.81); Service Quality (0.74); Check in/out Experience (0.66)
MOCH JASIN,2025,5,dengan harga segitu fasilitas memuaskan suatu saat akan menginap disini kembali ada kue selamat datang di dekat lobi ada minimarket dan resto makanan cepat saji,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9990052580833435,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Guest Experience (0.97)
Brainer Last,2025,5,Saya menginap di hotel ini saat menghadiri acara di Surabaya awalnya saya salah memilih tanggal check masuk dan baru menyadarinya ketika tiba di hotel namun seluruh staf sangat membantu dan ramah dalam menangani situasi tersebut saya sebenarnya memesan kamar dengan katil tunggal tetapi karena kesalahan tadi kamar tersebut sudah penuh dan saya dialihkan ke kamar twin bed sesuai informasi aplikasi beruntungnya staf hotel segera membantu dan akhirnya saya tetap mendapatkan kamar dengan katil tunggal seperti yang saya butuhkan pelayanannya cepat ramah dan sangat profesional saya merasa aman dan nyaman selama menginap di sini hotel ini benar-benar benar-benar direkomendasikan,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.7119203805923462,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.95); Service Efficiency & Responsiveness (0.94); Service Quality (0.85)
Erry Afiliandi,2026,5,Lokasinya strategis dan pelayanannya bagus bisa lihat pemandangan kolam renang yang menghadap ke jalan raya a yani surabaya,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9993502497673035,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Service Efficiency & Responsiveness (0.97)
Ahmad Fahimi,2025,4,hotel ini hampir saja aku kasih bintang lima mengingat pelayanan dan kondisinya yang luar biasa terletak di jalan arteri surabaya sehingga sangat mudah di jangkau baik dengan kendaraan pribadi maupun kendaraan umum fasilitas hotel ini terbilang lengkap dan kamarnya sangat nyaman pengalaman menginap di hotel ini di akhir pekan sungguh berkesan sarapannya enak bangeet top pokoknya cuma sayang satu hal sudah menjadi kebiasaan ku kalau menginap sehabis sholat pagi di masjid terdekat aku pasti ke gym baru untuk lari memakai treadmill untuk lari sayang sekali di hotel ini cuma satu dan itupun dalam kondisi dan mohon harap segera di perbaiki ruangan,KOMPETITOR,Bintang 4,BestWesternPapilioHotel-Surabaya,positive,0.9994413256645203,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.92); Location, Accessibility & Parking (0.79)"
