User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
黄merissadian,2025,4,Ruang yang bersih dan luas bagus keramahan tapi harus cek kalau jie expo ada acara musik dah pasti tidak bisa tidur di bawah jam 12 malem musik jedam jedum kaca getar sampe kayak mau pecah manajemen kudu mikirin gimana biar lebih tenang pakai peredam atau apa bawa anak dan lansia sangat tidak disarankan jika ada acara musik disana strategis letak,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,negative,0.7004271149635315,Facilities & Amenities,"Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.98); Room Quality & Comfort (0.91)"
Mustika Nurdiati,2025,5,pesan kamar yang biasa tapi waktu cek masuk diupgrade ke suite senang sekali kamarnya luas di lantai yang cukup tinggi jadi pemandangan ke jiexpo nya bagus ada kolam renang di lantai bawah tapi menurutku terlalu terekspos orang yang berlalu lalang jadi kurang nyaman menu sarapannya banyak tapi rasanya biasa saja secara keseluruhan hotelnya nyaman dan sangat puas dengan kamarnya yang indah,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9893759489059448,Booking & Reservation Experience,Booking & Reservation Experience (0.90); Check in/out Experience (0.87); Facilities & Amenities (0.82)
Danu Dwi,2025,5,layanan pelayanan nya bagus hotelnya bagus banget kebersihannya juga oke dibantu pak rizki housekeepingingg gercep ada kolam renangnya lagi best buat liburan masuk express kemayoran,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.999413013458252,Service Quality,"Service Quality (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99)"
karyn sem,2025,5,Hotel ini uda kaya rumah kedua kalau saat ada acara di jiexpo semua kru ramah juga cepat tanggap penuh senyum makanannya juga oke dan rumah menjaganya jg satset kebetulan yang saya sempat ketemu namanya merry b cekatan handal dan ramah sukses selalu hotel kesayangan,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9992215633392334,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.98); Family & Group Friendly (0.98)
Ronny Ramadhan,2025,5,Salah satu rekomendasi hotel yang dekat dengan jiexpo akses ke area jiexpo sangat mudah tinggal berjalan kaki lewat pintu belakang hotel yang terhubung dengan area jiexpo saya tinggal di kamar dengan tipe standar dan itu sangat nyaman dan luas menu sarapan beragam dan enak enak,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9993230104446411,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Food & Beverage (0.97)
Chandra Kristanto,2025,5,sangat masuk disambut sama resepsionis bu daftar klo tidak salah sikap pelayanan bintang 5 dpt kamar 300an ac central luas free breakfast ditggu kedtangan saya lg klo ke jakarta terima kasih,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.998540997505188,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.98); Guest Experience (0.97)
Shadiqa Imanina,2026,5,Tempat yang bagus untuk menginap selama di Jakarta 5 bintang buat layananenya semua ramah dan sangat membantu banyaj dibantu sama kak helen sangan dianjurkan untuk menginap di sini,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9993314743041992,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99)
Cece Cece,2025,5,Hotel ini sangat aman sekali 2 bulan yang lalu kehilangan dompet di hotel ini liburan di malam hari aku mencoba bertanya ke kepastian dn respsion ternyata mereka yang menemukan dan di simpenin selama 2 bulan itu sangat aman2 kalian sukses terus liburan di hotel terimakasih banyak ya,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9973798394203186,Safety & Security,Safety & Security (0.95); Booking & Reservation Experience (0.87); Service Quality (0.86)
anisa jasni,2025,5,Selama ada pameran di Jiexpo staf nya sangat membantu resepsionis nama kak lesti sangat ramah karena datang sedikit lebih awal kami dibantu cek masuk lebih awal ini membantu sekali karena perjalanan dari pulau yang berbeda langsung bisa istirahat barang yang dititipkan juga aman banget terus untuk fasilitas hotel kayak cuci pakaian dan layanan mandiri untuk setrika jg ada membantu sekali kamarnya bersih dan enak saya nginap 5 hari di sini sangat menyenangkan beberapa kali kejutan dari staf pembersihan lucu lucu dapat kasih tangan jadi saya tip sedikit pekerjaan baik liburan inn hihi,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.998674750328064,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.98); Staff Conduct & Hospitality (0.95)"
Nur Aliyah Santoso,2025,5,Pertama kali menginap di sini karena ada konser di Jiexpo Theatre lokasinya deket banget tinggal jalan kaki udah sampai dan fasilitasnya juga oke nyaman poll,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9994502663612366,Facilities & Amenities,Facilities & Amenities (0.98); Service Quality (0.93); Room Quality & Comfort (0.89)
EfixDS174,2025,5,lokasi hotel berada di taman ji expo dekat gerbang g fasilitas kamar bagus ada teko listrik pengering rambut smart tv kulkas mini teh kopi teh gula kremer air mineral mencuci tangan sabun sampo tubuh mencuci tangan sandal hanger kamar cukup luas menu sarapan banyak pilihan dan rasanya enak parkir gratis untuk tamu hotel udara panas mengalir lancar dan begitu kran diputar langsung panas staf depan kantor restoran rumah menjaga sangat ramah sangat memuaskan hotel pilihan terbaik bagi kalian yang akan mengunjungi atau berkegiatan di prj salam buat manajemen hotel yang memberikan layanan yang terbaik,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9994989633560181,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.92); Staff Conduct & Hospitality (0.86)"
Fitriysn 07,2025,5,9 10 Agustus 2025 pertama kali menginap di hotel ini resepsionis nya ramah baik ternyata sangat bagus luas pemandangan kamar indah kasurnya bersih bantal nya pun empuk sangat nyaman ada 4 bantal yang sangat empuk nyaman bersih kamar mandinyapun bersih sabun sampo nya harum bermerk merpati bukan kaleng2 tangan cuci nya pun bermerek merpati ada pemanas air juga masih sangat berfusi dengan baik ada kulkasnya juga tapi sayang tidak berfungsi sangat sangat sangat di di katakan secara keseluruhan semuanya oke sarapannya yang lumayan enak apa buburpunnya enak banget sangat layak untuk harga segitu menginap di ibu kota jak,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.997386634349823,Service Quality,Service Quality (0.90); Facilities & Amenities (0.77); Room Quality & Comfort (0.77)
Fitri ysn,2025,5,pertama kali menginap di hotel ini ternyata sangat bagus luas pemandangan kamar indah kasurnya bersih bantal nya pun empuk sangat nyaman ada 4 bantal yang sangat empuk nyaman bersih kamar mandinyapun bersih sabun sampo nya harum bermerk merpati bukan kaleng2 cuci tangan nya pun bermerek merpati ada pemanas air juga masih sangat berfusi dengan baik ada kulkasnya juga tapi tidak dingin sayang sekali menu sarapannyapun enak semua dengan harga layak sih sangat direkomendasikan,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9992923736572266,Service Quality,Service Quality (0.88); Facilities & Amenities (0.87); Pricing & Value for Money (0.87)
Liza Munthe,2025,5,Saya ingin mengucapkan terima kasih banyak untuk hotel ini atas kerjamanya terimakasih untuk menangani tim kami terutama mba ully aku sangat terbantu oleh beliau sukses selalu untuk hotel liburan masuk express,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9987744688987732,Service Quality,Service Quality (0.97); Guest Experience (0.90); Staff Conduct & Hospitality (0.90)
Mumu Aloha,2025,5,menginap di hotel ini karena mau ke jakarta fair lokasi hotelnya ada di lingkungan jiexpo kemayoran klo lagi ada acara konser atau pameran di situ menginap di hotel ini sangat mudah tapi di luar alasan praktis itu hotel ini ternyata mengasyikkan sekali sebagai tempat liburan fasilitas hotel lengkap ada kolam renang yang bersih dan luas dan daerah bersantai di sekitarnya harganya pun relatif murah dengan kamar yang luar bersih nyaman dan memiliki pemandangan yang mengesankan sepertii sedang tidak berada di jakarta pada musim penyelenggaraan jakarta penuh hotel ini sangat ramai tapi proses cek masuk dan cek keluar cepat lobi dan daerah2 santai juga selalu,KOMPETITOR,Bintang 3,HolidayInnExpressJakartaInternationalExpo,positive,0.9993385672569275,Facilities & Amenities,Facilities & Amenities (0.99); Pricing & Value for Money (0.93); Room Quality & Comfort (0.93)
