User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Indah Kusumaningrum,2025,1,layanan buruk kamar kotor bau apek coba menahan diri untuk tinggal karena sudah reservasi 2 malam tapi di hari kedua tinggal sampai jam 18 kamar belum membersihkan padahal sudah sejak jam 13 permintaan ke housekeeping,KOMPETITOR,Bintang 3,HotelDafamCilacap,negative,0.9992177486419678,Booking & Reservation Experience,Booking & Reservation Experience (0.95); Guest Experience (0.85); Facilities & Amenities (0.77)
Rahman Hilmy Nugroho,2025,5,Dafam cilacap merupakan hotel bintang tiga yang berdiri di pusat kota cilacap tepatnya di jalan dari wahidin sudiro husodo sehingga akses ke berbagai tempat populer seperti pantai teluk penyu dan benteng pendem terasa cukup mudah dari sini lokasinya strategis karena dekat pusat perbelanjaan kawasan pemerintahan dan stasiun kereta api kamarnya luas yang dilengkapi dengan fasilitas seperti ac televisi wifi beberapa kamar menyediakan kolam renang fasilitas umum di hotel ini cukup lengkap untuk ukuran akomodasi di kota pelabuhan ada kolam renang outdoor yang mengundang ruang untuk bersantai setelah beraktivitas sehari-hari daerah restoran di lantai bawah menyajikan berbagai tersedia,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.999357283115387,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.88); Service Efficiency & Responsiveness (0.79)
Antonius Indra,2025,5,dateng sama temen2 ambil 4 kamar hotel tengah kota kemana mana deket mana kebetulan kami jg ada rencana jalan2 ke pantai deket juga ke pantai nya aman eksternal tenang squrity ramah masuk hotel mbak e resepsionis ramah dapet minuman selamat saat banget buat kami yang habis motor jauh2 dari semarang kamar dapet luas cm di kamar saya 271 udara kamarmandinya kurang kenceng ac kurang dingin tapi scr keseluruhan kamarnya oke lah oiya lampunya terlalu remang2 tidak pakai lampu yang putih kenyang lampu sarapan lengkap enak oke dan bikin dari kenyangnya sampai tidak siang saat nglanjutin perjalanan makan lagi dan yang yang,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.9984362721443176,Service Quality,Service Quality (0.95); Staff Conduct & Hospitality (0.94); Facilities & Amenities (0.90)
pangeran berkuda,2025,4,hotelnya tidak terlalu besar cuma 2 lantai tanpa lift tapi ada kolam renangnya lokasi dekat pantai teluk penyu bisa jadi alternatif saat berlibur di cilacap kamar yang saya tidak bisa ada pemandangan cuman tangga naik turun paling jika mau nginap harus meminta dulu,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.9977743029594421,Facilities & Amenities,"Facilities & Amenities (0.97); Location, Accessibility & Parking (0.68); Guest Experience (0.50)"
Asyifa Fadhilah Rachman,2025,5,pernikahan di dafam sangat baik dengan harga yang terbilang murah tapi kualitas pelayanan sangat baik dan tempat strategis dari awal komunikasi dengan pihak hotel hingga selesai acara selalu cepat respon sabar dan ramah baik bgtt pokonya makanannya juga enak enak enak staf hotelnya juga ramah dan cepat di menangani jika ada keluhan seperti kemarin ada keluhan kamar pintu tidak bisa terkunci teknisinya datang menangani tidak di biarkan saja dan ada yang kamar tidak bisa terkunci tapi tidak bisa di benerin dengan teknisi di pindahkan kamar yang lain best banget pokoknya 10 100,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.999021053314209,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Pricing & Value for Money (0.99); Service Quality (0.99)
Dewi official 9,2025,5,untuk tempat tinggal rekomendasi sekali dan cocok untuk anak anak ka4na ada fasilitas kolam renang untuk tempat seperti ruang acra bagus semua staf dapat di ajak bekerja sama dengn baik berikutnya ny akan rekomendasi ke yang lain jika ada acara mendatang catatan hanya saja tidak ada kwintasi atau bukti tertulis untuk sewa tempat acara,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.9990131855010986,Facilities & Amenities,Facilities & Amenities (0.95); Family & Group Friendly (0.85); Guest Experience (0.34)
HypaMeepta,2025,4,kamar oke bersih nyaman kamar mandi sabun habis tidak diresmikan lantai agak licin menu sarapan cukup variatif gelas yang saya pakai bau amis nyucinya kurang bersih,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.8641355633735657,Facilities & Amenities,"Facilities & Amenities (0.95); Room Quality & Comfort (0.90); Cleanliness, Hygiene & Maintenance (0.87)"
Herlin Natasya Sefiani,2025,2,Suram Bngt Kamarnya Remaang TVnya Masih jaman bahela acnya kurang dingin WC bau bngt,KOMPETITOR,Bintang 3,HotelDafamCilacap,negative,0.9988275170326233,Facilities & Amenities,Facilities & Amenities (0.91); Service Quality (0.67); Guest Experience (0.60)
Ida WK,2025,4,Tidak terlalu suka pada waktu sarapan staf tidak berada di tempat tidak ada yang menunggu d resto cokelat melempem susu habis penjaga spageti dan telur tidak berdiri di tempat untuk resto saja yang kurang dalam melayani dan beberapa makanan yang tidak sesuai,KOMPETITOR,Bintang 3,HotelDafamCilacap,negative,0.9968456625938416,Facilities & Amenities,Facilities & Amenities (0.91); Food & Beverage (0.89); Guest Experience (0.75)
Andreas Slamet,2025,5,Pelayanan ramah dan baik sebagai tempat singgah yang menyenangkan setelah bekerja seharian bisa beristirahat dengan santai dan sangat nyaman,KOMPETITOR,Bintang 3,HotelDafamCilacap,positive,0.9974084496498108,Guest Experience,Guest Experience (1.00); Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00)
