No,User Name,Review Count,Review Time,Rating,Review Text,Cleaned_Readable,Cleaned_NLP
1.0,TANAKA Tanaka,34,2025-12-25,3,"Saya pesan hotel via agoda Melihat rating tertinggi disini Karena bintang 3 , dan melihat ulasan bagus , kamar bagus. Pas dtg chek in ga bisa di percepat biarpun saya ingin bayar tambahan biaya Ac bermslah di hari ke 9 dan akhirnya kami pindah kamar , tp menurutku makin ga enak. Mau komplain ud malas . Ketika mau chek out jam 12 . Saya mnt negosiasi utk mnt waktu utk kami sholat 5 menit. Tp jawaban nya tidak bisa alasan full. Mau bayarpun ga bisa. Makanan nya selama saya menginap itu itu mulu menu nya Ayam , ikan Ayam ,ikan Ayam , ikan Enggk ada variatif nya Dan soto nya asin Sekelas bintang 3 menurutku mirip ke bintang 2. Kamar nya sangat kecil Padahal pesan nya yg paling bagus menurut aplikasi .","Saya pesan hotel via agoda melihat rating tertinggi disini karena bintang 3, dan melihat ulasan bagus, kamar bagus. Pas dtg chek in ga bisa di percepat biarpun saya ingin bayar tambahan biaya ac bermslah di hari ke 9 dan akhirnya kami pindah kamar, tp menurutku makin ga enak. Mau komplain ud malas. Ketika mau chek out jam 12. Saya mnt negosiasi utk mnt waktu utk kami sholat 5 menit. Tp jawaban nya tidak bisa alasan full. Mau bayarpun ga bisa. Makanan nya selama saya menginap itu itu mulu menu nya ayam, ikan ayam,ikan ayam, ikan enggk ada variatif nya dan soto nya asin sekelas bintang 3 menurutku mirip ke bintang 2. Kamar nya sangat kecil padahal pesan nya yg paling bagus menurut aplikasi.",saya pesan hotel via agoda melihat rating tertinggi disini karena bintang dan melihat ulasan bagus kamar bagus pas dtg chek in ga bisa di percepat biarpun saya ingin bayar tambahan biaya ac bermslah di hari ke dan akhirnya kami pindah kamar tp menurutku makin ga enak mau komplain ud malas ketika mau chek out jam saya mnt negosiasi utk mnt waktu utk kami sholat menit tp jawaban nya tidak bisa alasan full mau bayarpun ga bisa makanan nya selama saya menginap itu itu mulu menu nya ayam ikan ayam ikan ayam ikan enggk ada variatif nya dan soto nya asin sekelas bintang menurutku mirip ke bintang kamar nya sangat kecil padahal pesan nya yg paling bagus menurut aplikasi
2.0,Fuad Fauzi,88,2026-01-01,5,"Menginap di sini pas liburan natal 2025. Harga lagi mahal dan memang semua hotel naik 50-100%. Menurut saya kamarnya nyaman sudah ada smart TV jadi cocok untuk anak2 bisa nonton Youtube. Lokasi yang ditengah kota, dekat tugu. Staff hotel dari resepsionis sampai securitynya ramah. Menu sarapan lengkap tapi tidak banyak berubah di hari berikutnya. Minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi dibantu valet parking.","Menginap di sini pas liburan natal 2025. Harga lagi mahal dan memang semua hotel naik 50-100%. Menurut saya kamarnya nyaman sudah ada smart tv jadi cocok untuk anak2 bisa nonton youtube. Lokasi yang ditengah kota, dekat tugu. Staff hotel dari resepsionis sampai securitynya ramah. Menu sarapan lengkap tapi tidak banyak berubah di hari berikutnya. Minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi dibantu valet parking.",menginap di sini pas liburan natal harga lagi mahal dan memang semua hotel naik menurut saya kamarnya nyaman sudah ada smart tv jadi cocok untuk anak bisa nonton youtube lokasi yang ditengah kota dekat tugu staff hotel dari resepsionis sampai securitynya ramah menu sarapan lengkap tapi tidak banyak berubah di hari berikutnya minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi dibantu valet parking
3.0,Freshmax Bali,5,2026-01-01,5,Very comfortable hotel just 3 minute to Jl. Mailboro. Breakfast is awesome👍. All employees were very nice. Room was clean. There was an issue in our bathroom and they fixed it right a way. We loved the breakfast room.,Very comfortable hotel just 3 minute to jl. Mailboro. Breakfast is awesome. All employees were very nice. Room was clean. There was an issue in our bathroom and they fixed it right a way. We loved the breakfast room.,very comfortable hotel just minute to jl mailboro breakfast is awesome all employees were very nice room was clean there was an issue in our bathroom and they fixed it right a way we loved the breakfast room
4.0,indrasmara ilham perdana,325,2025-12-08,5,"Kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan. Sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel, meskipun hotel ini bukan hotel syariah Peralatan shalat di dalam kamar juga cukup lengkap, ada sajadah, mukena, dan juga Al-Qur'an. Untuk lokasi hotel ini sangat strategis, tak jauh dari tugu jogja yang ikonik. Mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional, dan sebelahan persis dengan lupis yang viral. Kemarin mendapatkan kamar yang dapat view langsung gunung merapi. Untuk menu sarapan di hotel cukup lengkap, meskipun untuk resonya lumayan sempit Ada kolam renang untuk anak-anak bermain, karena tidak begitu luas.","Kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan. Sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel, meskipun hotel ini bukan hotel syariah peralatan shalat di dalam kamar juga cukup lengkap, ada sajadah, mukena, dan juga al-qur'an. Untuk lokasi hotel ini sangat strategis, tak jauh dari tugu jogja yang ikonik. Mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional, dan sebelahan persis dengan lupis yang viral. Kemarin mendapatkan kamar yang dapat view langsung gunung merapi. Untuk menu sarapan di hotel cukup lengkap, meskipun untuk resonya lumayan sempit ada kolam renang untuk anak-anak bermain, karena tidak begitu luas.",kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel meskipun hotel ini bukan hotel syariah peralatan shalat di dalam kamar juga cukup lengkap ada sajadah mukena dan juga alquran untuk lokasi hotel ini sangat strategis tak jauh dari tugu jogja yang ikonik mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional dan sebelahan persis dengan lupis yang viral kemarin mendapatkan kamar yang dapat view langsung gunung merapi untuk menu sarapan di hotel cukup lengkap meskipun untuk resonya lumayan sempit ada kolam renang untuk anakanak bermain karena tidak begitu luas
5.0,ARI,100,2025-12-08,5,"Gila sih, KHAS Tugu Hotel ini memang bestie banget buat yang cari hotel di deket Tugu Jogja! Lokasinya strategis parah, mau ke Malioboro atau kulineran melipir dikit aja nyampe, pokoknya gampang banget aksesnya ke mana-mana. Trus, mereka juga punya counter yang khusus jualin oleh-oleh dari Jogjakarta jadi ga perlu pusing kalo gak sempet belanja oleh-oleh ya! Awalnya sih cuma ikut kata pacar yang recommend buat nginep sini, eh ternyata beneran dong, semua fasilitas dan pelayanannya bikin betah dan worth it abis! Saya pesan 4 hari 3 malam, dan meskipun sarapannya cuma dapat jatah sekali, menu breakfast-nya itu juara banget, isinya full kuliner Jawa Tengah yang enak-enak semua. Pokoknya, kalau liburan ke Jogja lagi, fix banget saya bakal balik nginep di KHAS Tugu Hotel lagi! Nggak ada lawan deh!","Gila sih, khas tugu hotel ini memang bestie banget buat yang cari hotel di deket tugu jogja! Lokasinya strategis parah, mau ke malioboro atau kulineran melipir dikit aja nyampe, pokoknya gampang banget aksesnya ke mana-mana. Trus, mereka juga punya counter yang khusus jualin oleh-oleh dari jogjakarta jadi ga perlu pusing kalo gak sempet belanja oleh-oleh ya! Awalnya sih cuma ikut kata pacar yang recommend buat nginep sini, eh ternyata beneran dong, semua fasilitas dan pelayanannya bikin betah dan worth it abis! Saya pesan 4 hari 3 malam, dan meskipun sarapannya cuma dapat jatah sekali, menu breakfast-nya itu juara banget, isinya full kuliner jawa tengah yang enak-enak semua. Pokoknya, kalau liburan ke jogja lagi, fix banget saya bakal balik nginep di khas tugu hotel lagi! Nggak ada lawan deh!",gila sih khas tugu hotel ini memang bestie banget buat yang cari hotel di deket tugu jogja lokasinya strategis parah mau ke malioboro atau kulineran melipir dikit aja nyampe pokoknya gampang banget aksesnya ke manamana trus mereka juga punya counter yang khusus jualin oleholeh dari jogjakarta jadi ga perlu pusing kalo gak sempet belanja oleholeh ya awalnya sih cuma ikut kata pacar yang recommend buat nginep sini eh ternyata beneran dong semua fasilitas dan pelayanannya bikin betah dan worth it abis saya pesan hari malam dan meskipun sarapannya cuma dapat jatah sekali menu breakfastnya itu juara banget isinya full kuliner jawa tengah yang enakenak semua pokoknya kalau liburan ke jogja lagi fix banget saya bakal balik nginep di khas tugu hotel lagi nggak ada lawan deh
6.0,Anna,357,2025-12-08,4,"Actually we didn’t expect much from this hotel because the only reason we chose this hotel is Lupis Mbah Satinem. It’s just across this hotel. Back to hotel, the staff were friendly and helpful. The room was a bit cramped and little dirty on the wall and the bed sheets. The bathroom was not clean enough too. You can request to borrow iron but no iron board so just iron on the table or on the bed. Breakfast were delicious even there were only a few variations of the dishes.","Actually we didnt expect much from this hotel because the only reason we chose this hotel is lupis mbah satinem. Its just across this hotel. Back to hotel, the staff were friendly and helpful. The room was a bit cramped and little dirty on the wall and the bed sheets. The bathroom was not clean enough too. You can request to borrow iron but no iron board so just iron on the table or on the bed. Breakfast were delicious even there were only a few variations of the dishes.",actually we didnt expect much from this hotel because the only reason we chose this hotel is lupis mbah satinem its just across this hotel back to hotel the staff were friendly and helpful the room was a bit cramped and little dirty on the wall and the bed sheets the bathroom was not clean enough too you can request to borrow iron but no iron board so just iron on the table or on the bed breakfast were delicious even there were only a few variations of the dishes
7.0,Ahma Muniyatini,13,2025-12-11,1,"LORONG MENUJU KAMAR PANASSSS HOTELNYA PELIT AC DI LORONG KORIDOR GAK DINYALAIN!!! Hotel yang sangat pelit di lorong dari lift menuju kamar AC nya tidak dinyalakan, tetapi area nya full tertutup kaca. Kalo gak mau rugi ada AC di lorong, yaa buatkan jendela lahh. Hargamu itu udah termasuk fantastis/mahal banget lohh. Hotel di Yogyakarta itu udah mahal-mahal pol lohhhh. Di tik-tok content creatornya cuma mau FYP aja, gak detail ngasih tau nya. DENGAN HARGA SEMAHAL INI, TIDAK ADA KULKAS PARAHHHH. KALO MAHAL BAGUS OKEEE, INI TIDAK JATOHNYA MERES WOYYY","Lorong menuju kamar panass hotelnya pelit ac di lorong koridor gak dinyalain!! Hotel yang sangat pelit di lorong dari lift menuju kamar ac nya tidak dinyalakan, tetapi area nya full tertutup kaca. Kalo gak mau rugi ada ac di lorong, yaa buatkan jendela lahh. Hargamu itu udah termasuk fantastis/mahal banget lohh. Hotel di yogyakarta itu udah mahal-mahal pol lohh. Di tik-tok content creatornya cuma mau fyp aja, gak detail ngasih tau nya. Dengan harga semahal ini, tidak ada kulkas parahh. Kalo mahal bagus okee, ini tidak jatohnya meres woyy",lorong menuju kamar panass hotelnya pelit ac di lorong koridor gak dinyalain hotel yang sangat pelit di lorong dari lift menuju kamar ac nya tidak dinyalakan tetapi area nya full tertutup kaca kalo gak mau rugi ada ac di lorong yaa buatkan jendela lahh hargamu itu udah termasuk fantastismahal banget lohh hotel di yogyakarta itu udah mahalmahal pol lohh di tiktok content creatornya cuma mau fyp aja gak detail ngasih tau nya dengan harga semahal ini tidak ada kulkas parahh kalo mahal bagus okee ini tidak jatohnya meres woyy
8.0,Alex WS (Alex),122,2025-10-08,2,"Punya pengalaman tidak menyenangkan di hotel ini, saya menginap 2 hari. Hari kedua ga doyan makan karena tahu bahwa handuk yg sdh kotor bekas pakai sehari dan dipakai ngelap gelas, dilipat rapi lagi dan ditaruh seolah olah handuk baru. Sangat ga nyaman, mau komplain sdh malam. Bed cover juga terlihat kotor. Komplain saya ditanggapi dengan ramah, tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar. Pengalaman saya menginap di hotel lainnya, handuk diganti setiap hari.","Punya pengalaman tidak menyenangkan di hotel ini, saya menginap 2 hari. Hari kedua ga doyan makan karena tahu bahwa handuk yg sdh kotor bekas pakai sehari dan dipakai ngelap gelas, dilipat rapi lagi dan ditaruh seolah olah handuk baru. Sangat ga nyaman, mau komplain sdh malam. Bed cover juga terlihat kotor. Komplain saya ditanggapi dengan ramah, tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar. Pengalaman saya menginap di hotel lainnya, handuk diganti setiap hari.",punya pengalaman tidak menyenangkan di hotel ini saya menginap hari hari kedua ga doyan makan karena tahu bahwa handuk yg sdh kotor bekas pakai sehari dan dipakai ngelap gelas dilipat rapi lagi dan ditaruh seolah olah handuk baru sangat ga nyaman mau komplain sdh malam bed cover juga terlihat kotor komplain saya ditanggapi dengan ramah tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar pengalaman saya menginap di hotel lainnya handuk diganti setiap hari
9.0,A,5,2025-12-18,1,"SANGAT TIDAK WORTH IT DENGAN HARGA SEGITU!! JATUH NYA KAYA HOTEL TUA. kacaauuuuu breakfast pun lauknya gak ada yg enakkk😭🫵🏻, Kalo gak karna kecapean mungkin bakal cari hotel lain dan gak bakal chek in dsni. Kacauuu kacauuuu sangat memeras harga 1jt permalam gk ada apa” semua tertutup view nya pun biasa aja","Sangat tidak worth it dengan harga segitu!! Jatuh nya kaya hotel tua. Kacaauu breakfast pun lauknya gak ada yg enakk, kalo gak karna kecapean mungkin bakal cari hotel lain dan gak bakal chek in dsni. Kacauu kacauu sangat memeras harga 1jt permalam gk ada apa semua tertutup view nya pun biasa aja",sangat tidak worth it dengan harga segitu jatuh nya kaya hotel tua kacaauu breakfast pun lauknya gak ada yg enakk kalo gak karna kecapean mungkin bakal cari hotel lain dan gak bakal chek in dsni kacauu kacauu sangat memeras harga jt permalam gk ada apa semua tertutup view nya pun biasa aja
10.0,Corie Anissa,73,2025-10-08,3,"Maaf harus memberikan review ini🙏🏻 Awal check in bed cover banyak noda lama, mau minta ganti tp sudah capek mau segera mandi dan istirahat. Sarapan saat bfast rasanya enak, tp mungkin bukan selera saya ya.. overall sebenarnya sudah baik. Tp kebersihan tdk dijaga dg baik. Handuk sudah kusam. Semoga bisa nginep kembali dg performa terbaik.","Maaf harus memberikan review ini awal check in bed cover banyak noda lama, mau minta ganti tp sudah capek mau segera mandi dan istirahat. Sarapan saat bfast rasanya enak, tp mungkin bukan selera saya ya.. Overall sebenarnya sudah baik. Tp kebersihan tdk dijaga dg baik. Handuk sudah kusam. Semoga bisa nginep kembali dg performa terbaik.",maaf harus memberikan review ini awal check in bed cover banyak noda lama mau minta ganti tp sudah capek mau segera mandi dan istirahat sarapan saat bfast rasanya enak tp mungkin bukan selera saya ya overall sebenarnya sudah baik tp kebersihan tdk dijaga dg baik handuk sudah kusam semoga bisa nginep kembali dg performa terbaik
