User Name,Review Count,Rating,Review Text
Mckatog DP,36,5,hotel bintang 3 harga bintang 4 tapi sangat masuk akal karena pegawainya sopan2 tidak kalah sama pelayanan hotel bintang 5 secara hotel ini recomended mengingat lokasi nya sangat strategis untuk akses ke malioboro cukup berjalan kurang dari 5 menit udah bisa menikmati hiruk pikuknya keramaian malioboro untuk sarapan sudah tersedia makanan tradisional yogya gudeg yang legend tinggal snack nya saja menurut saya yang suka jajanan tradisional waktu tgl 16 desember 25 tidak tersedia di resto next nginap d situ mudah2an ada overall oke lah bisa dicoba lagi klo ke yogya
Endi Sitompul,119,5,i stayed 1 night only with my colleagues and had the opportunity to have dine masuk at the restaurant with our daughter just two of us the staff was very helpful pak ruli and team to assist us masuk selecting menu for us we ordered forget the name but like roll for sultan for starter and it was a 3 piece rollade with tasty flavor the cold version of wedang uwuh was so fitted into our main course superb dinner date thank you for the resto team and we ll be back for sure
Fariez Nurkholiq Ashshiddiqie,138,4,hotelnya bagus pelayanan ramah suka karena disediakan alquran dan sajadah di kamar ukuran kamar juga cukup luas tidak bisa kasih full 5 bintang karena kebetulan dapat kamar yang air panasnya tidak ngalir tapi di kamar teman infonya lancar saja sudah panggil petugas bisa tapi saat dicoba sendiri tetap tidak ngalir tapi overall memuaskan
aurelia valen,11,3,hotelnya over all bgus lokasi juga deket sekali dengan malioboro hanya saya klo untuk pengguna grab mesti xtra sabar karna nunggu lama sekali dan sering di cancel dengan alasan jalan malioboro macet ditutup jadi susah klo mau pergi2
sarah,22,5,first time ke jogja inap di hotel khas untuk sarapannya enak lengkap krna saya pecinta makanan sereal yang ini lemgkap smpai 3 macam cco crunch honey star dan jagung nasi goreng dan lauk lainnya enak dan segar semua kamar bersih dan gongnya untuk jaringan tv dan wifinya kencang dan cukup puass inap disini apalg lengkap dengan sejadah dan al quran tinggalin sepatu di sana biar bjsa kembali ke jogja
Nolianto Ananda,1694,5,great value hotel clean and comfy room nice breakfast friendly and helpful staff nice location only 10 minutes walking to 0 km jogja 10 minutes walking to bringharjo market affordable price
fx alvin k,25,4,lokasi cukup dekat jl malioboro tinggal jalan kaki 5 menit service oke dengan menu breakfast yang cukup oke juga ruang kamar oke bersih nyaman tv berfungsi dengan baik mau youtube dll kasur bantal empuk selimut tebat hanya saja kamar mandi tidak bisa di kunci dan luas ruangan cukupan saja
255_fabian setyawan,12,4,hotelnya bagus pelayanya tamah tapi aku nunggu check masuk dari jam 2 sampai jam 4 harusnya sesuai jadwal jam 2 udah ready semua
den yoga,147,5,deket sih dengan malioboro banyak tamu dengan bus ke hotel ini terutama saat sarapan terlihat sering penuh orang or malah sempat harus antri padahal hanya untuk sarapan untuk orang yang butuh tempat nginap dekat dengan titik nol malioboro saat sih milih sini
Angel Angel,19,4,we choose this hotel because close too malioboro the room is clean also bathroom friendly staff the breakfast menu is more traditional yummy only the quality of jam and bread may need to be improved or can put espresso machine haha your morning coffee too light m i just feel some staff only kind while we stay there they change when we already check keluar don t do that not nice by the way thanks for your service
Mega Arina,7,1,kamar lumayan bersih handuk seperti sudah lamaa tidak diganti baru ac rusak tidak dingin cuma kipas udah coba dibenerin tapi tetep ngga dingin karena konslet jadi listrik kamar sampai padam 2x tv jg kadang eror pesen 2 kamar dan sama minus semua ac ngga dingin
Rio Yusuf,4,5,baru kali ini nginep di hotel bukan termasuk bintang 5 tapi pelayanannya super ramah sekali mulai dari security resto resepsionis semua nya tidak ada yang gagal untuk kamar sangat bersih tapi sayang dipan nya ngejeblos kebawah saat di tidurin jadi kasur otomatis keangkat sedikit untuk lokasi strategis sekali sepertinya next liburan kejogja mau singgah ke hotel ini lagi
Mike Staton,137,5,the only place to stay masuk depok 4 star all round the staff are amazing super friendly the rooms are very well presented and very clean the beds are comfortable nice pillows and white sheets the room size is perfect you don t feel cramped access to the mail below is very close and you can keep keluar of the rain great selection of room service meals available not overly expensive do yourself a favour and pay the little bit more and stay masuk a great hotel its well worth it we will definitely be back next time we are masuk depok highly recommended
Dewi Rezkiana Putri,105,5,dengan harga segitu terbayar dengan fasilitas yang bagus kamarnya super nyaman staffnya juga ramah banget aminities lengkap kalau mau jogging pagi atau jalan malam ke malioboro bisa bangett
Bernadeta R,155,5,lokasi mudah temukan walaupun di dalam gang bis bisa parkir di parkiran hotel kamar tidak terlalu luas tapi cukup nyaman kebetulan kamar tidak dpt view sarapan oke
Meirina Putri,37,5,hotel bintang 3 yang terletak sekitar 300 meter dari malioboro lokasi sangat strategis bisa jalan kaki ke malioboro atau naik becak kamarnya luas dan bersih ada corner untuk sholat di setiap kamar dan disediakan sajadah serta al quran breakfastnya juga cukup lengkap berbeda dengan hotel bintang 3 biasanya menu protein ada beberapa varian pilihan minuman lengkap dessert juga cukup banyak ada foods for kids parkiran besar hanya saja harganya memang cukup mahal untuk hotel bintang 3 waktu itu saya weekend di bukan juli harga 900 an per room
nophe20,16,3,lokasi no debat staff ramah dan helpful saya dan teman2 stay tgl 26 28 sep a n marice icha mungkin karena weekend harga yang kami dapatkan mahal untuk kelas 3 hotel kebersihan oke yang saya heran harga kamar 600an ribu room only tapi handuk yang diberikan sudah tipis dan pinggirannya banyak benang yang berurai bahkan tidak ada usaha sama sekali untuk digunting dulu benang2nya dan dijahit pinggirannya 600k kalau dibali sudah dapat htl 4 si area jl pantai kuta
Adi Soemarna,40,5,nyaman sih tapi mungkin karena hotel lama ya jadi fasilitasnya belum update
Vina,13,5,kemarin menginap d khas malioboro lokasi hotel sangat strategis dengan staff yang ramah ramah dan bertemu dengan mba geiska terima kasih khas malioboro next sebagai destinasi menginap kalau ke jogja lagi
Nofriana Ulfha,12,1,karena saya tidak jadi berangkat ke jogja tgl 24 oktober 2025 saya mengajukan cancel tapi di tolak pihak hotel dengan alasan tidak bisa dicancel udah jelas di situ ada fitur cancelnya mengecewakan saja apalagi lewat aplikasi trip com
Chairani Syahputri,66,5,hotel yang recommended untuk menginap di sekitaran malioboro harga terjangkau staf ramah pelayanan oke sarapan bervariasi kebersihan jg oke mo ke malioboro tinggal jalan tidak smpe 10 menit kami pesan kamar dengan breakfast hari terkahir menginap km minta sarapan dbungkus karena pesawat pagi alhamdulillah staf responnya cepat dan terbantu banget dengan sarapan nya
Dex Ecca,3,5,tidak begitu jauh dari malioboro pelayanan ramah2 sekali staff nya untuk kamarnya bener2 bersih dan untuk sarapan d resto menu variatif dan rasa nya lumayan enak tidak bakal nyesel nginep disini
Outbond Lembang Bandung,7,5,hotel nya baguss pelayanannya juga bagus semua nya bagus ka caca baik cantik terbaiikks sejauh ini saya suka bgtt khas jogja nya kerasa banget saat awal masuk ada aroma aroma khas gitu
Trisetia Wijijayanti,41,5,i am very satisfied with this hotel i already stayed for 3 times here very friendly staff quick check masuk and very strategic location i will be stay here again if i come to yogyakarta thanks
Junita Indri,3,3,iya hotelnya bagus tetapi kamarnya terlalu kecil dan pelayanannya tidak komplit
Yadi Kusumayadi,38,4,bathroom must have special attention especialy at shower floor it is very slippery when wet i fell down because shower floor is slippery i asked for rubber bath mat to housekeeping but he said none for bath mat i hope for safety reason hotel must provide bath mat at shower floor
Rahmandika Wijaya,2,5,tempatnya strategis deket dng pusat pariwisata malioboro pelayanan ramah dan masakannya enak cocok untuk rekomendasi dng keluarga
Sopyan Heri,52,4,udah 2 kali nginap di sini pelayanan bagus kamar nyaman fitur hotel lengkap lumayan dekat dengan jl malioboro tidak sampai 5 menit jalan kaki nyampe sayangnya kurangnya smoking room dan belum ada kolam renang tapi ini hotel bagus banget
Choirunnisa Ihsan,354,5,hotel bersih namun dapat lantai non smooking tapi dikamar berasa bau banget bekas asap rokok
Admin Pemesanan,54,5,khas malioboro hotel info kontak untuk booking kamar 𝘞𝘢 oꖉƽ𖫥 o୨oƽ ꖉյ 𝑃𝑒𝑚𝑖𝑙𝑖𝑘
Lutfia Rahmannisa,515,4,lokasinya strategis bangeet tinggal jalan kaki ke malioboro terus pelayanannya ramah poll mbak2nya full senyum deh pokoknya kalau dari kamar ya standar sesuai bintangnya ya
Rizka Oktanaka,17,5,kamarnya bersih luas dan wangi suka banget apalagi viewnya langsung kota jogja bikin betah layanannya juga memuaskan semua staff ramah banget mulai dari bukain pintu mobil pintu lobby sampai di lobby nya mereka semua sangat welcome lokasi sangat dekat dengan pusat kota terutama titik 0 km kalau mau ke malioboro tinggal jalan kaki saja makanannya juga enak2 menu sarapan variatif dan fresh semua mulai dari makanna berat makanan ringan aneka bubur dessert kopi teh infused water dll ada semua disini
Lexy Belantara,358,5,ni hotel keren tempatnya nyaman ditengah kota tapi tidak bising 2 menit ke nol kilometer jos pokoknya
Renaldy Nurliansyah,14,4,the best sih untuk lokasi dan pelayanannya cuma kurang di lemari pendingin untuk kamarnya
devi prahesti,8,5,pengalaman terbaik selama menginap di hotel area yogyakarta akses ke semua tempat mudah kamar bersih pelayanan number one
Irwan Gunawan,37,4,3 menit ke malioboro sarapan pagi standar dan banyak pilihan kamar suasana redup satpam front office dan cleaning servis ramah
yulia pratiwi,2,5,resepsionis ramah kamar bersih saya ketemu mbak giska dan mbak amel next bisa bawa keluarga kesini lagi bintang 5 kereenn
Eko Priyanto,633,5,nice place dipusat kota deket dengan sentra bakpia dan 0 km bersih indah dan nyaman
Prasetya Tya,162,5,bila ke jogja yang biasa menginap di hotel itu2 saja coba di khas msrloboro hotel akan menemukan hotel yang berbeda wajib dicoba menginap disini
"Firdaus, Dally",37,4,dekat dengan malioboro dan tempat tenang cuma kurang perawatan saja hotelnya
Tommy Galih Gumilang,269,5,salah satu hotel yang ada di kawasan malioboro tidak jauh dari titik 0 km yogyakarta dan tidak jauh juga ke alun alun untuk pelayanannya ramah dan membantu tempat nya bersih dan nyaman
Chika Martian,17,5,it s a very good place to stay i would recommend very friendly service
Wahyu Ningsih,1,5,lokasi strategis dekat sekali dengan malioboro pasar bringharjo kamar bersih disediakan shajadah dan alqur an
Irma Gunars,4,5,ini pertama kali nginep di khas awalnya bingung cari alamat karena tmpt nya masuk ini bagus untuk yang penyuka hening dan jauh dari kebisingan baru sampai semua karyawan menyambut dengan salam kamarnya lumayan kamar mandi bersih makanan ala carte enak enak makanannya koper kita juga selalu di bawain jadi aman ya namanya juga hotel khas jadi khas banget jogja nya rekomen lain kali kalau ke jogja nginep ke sini lagi
Billy Koesoemadinata,190,5,kamar nyaman makanan sarapan enak cukup variatif petugas hotelnya ramah membantu parkiran luas lokasi prima banget
Dyah Ayu Setyani,4,3,saya menginap disini tahun 2024 kemarin kebetulan waktu dinas suami dan sambil jalan jalan untuk kamar bagus luas dan pelayanan bagus hanya saja ada pengalaman pelayan hampir masuk kamar tanpa diijinkan awalnya ketuk pintu karena dibilang saya melakukan permintaan sabun shampo begitu padahal tidak ada ada telp permintaan dari saya karena suara saya tidak terdengar pelayan inisiatif membuka pintu kamar sendiri dan refleks membuat saya menjerit dan terdengar pintu langsung ditutup kemudian saya bilang saya tidak ada pesan apapun agak takut karena memang cuma berdua dengan balita saran saya untuk yang menginap jangan sekali sekali meninggalkan barang berharga di hotel takutnya ada oknum pelayan yang berniat tidak baik
Yulia wahyu Ningrum,287,3,ruangannya sempit untuk harga yang segitu mungkin karena high session juga x ya makanan kurang variatif tapi omeletnya enak pelayanan ramah dan gercep
Andre Setiawan,44,5,delat dengan malioboro tempatnya nyaman tenang makanannya enak terima kasih
Riza Ardita,45,4,lokasi sangat strategis di sini lgsg bisa jalan ke malioboro pasar beringharjo hamzah batik dan area kota kamar bersih fo nya jg ramah
Berkah Murakabi,5,5,saat masuk kamar surprise banget disediakan sajadah dan al qur an kamarnya nyaman lokasi dekat malioboro nasi gorengnya enak
AKABI STORE,84,5,masyaallah baru kali ini nemu hotel nyediain sajadah sama al quran kamar bersih wangi untuk harga segitu worth it ya deket malioboro parkir luas juara deh
Septy Rosiana,15,4,nginep semalam saja bareng anak2 sevice ny top banget tempat strategis deket ama malioboro bisa jogging pagi2 di malioboro sarapan cukup enak meski kurang variasiny bebrapa makanan seperti makanankmrn yang dipanasin lagi overall nice lah
Makeup Khusnul,7,2,lokasi strategis dekat pasar petugas ramah minusnya kamar minta kasur besar dikasihnya kasur single dijadiin 1 diselimutnya ada bekas noda masih kotor ac panas untung harga 400rb an kurang worth it sih b saja untung cuma semalam
roemna roemnaw,6,5,sgt menyenangkan nginap dsni kamar luas bersih disediakan sajadah al quran di kamar karyawan ramah2 cukup membantu sarapan bny variasi tapi terasa hambar petugas cukup sigap merefill menu yang habis kekuranganny hanya ac tidak terlalu dingin lokasi yang agak kedalam jadi terkesan jauh dari malioboro pdhl jln kaki cukup 5 menit smp malioboro
Carla Julieska,197,4,kamar cukup bersih tetapi memang bebrapa furniture terlihat sudah tua dan agak gompal lobi hotel dan tangga nya licin klo musim hujan mungkin perlu pasang karpet karena anak tangga nya cukup banyak makanan variasi cukup rasa so so sarung bantal beberapa sudah menguning lift nya bisa difungsikan walau tanpa kartu akses pelayanan servis t o p ramah dan informatif
Rony sasmita Aji,39,2,pelayanan ala kraton tapi makanan nya kayak budak di masa nya
Feri Firdiansyah,117,5,hotelnya bersih nyaman dan rapi banyak fasilitas yang disediakan tempat bermain anak anak juga ada pelayanan pelayanan yang diberikan sangat ramah cepat karyawannya rapi dan baik makanan makanannya enak dan fresh buah buahannya segar dan banyak pilihan minumannya harga harga kamar menyesuaikan dengan tipe kamar yang kalian pilih tipe standart harganya juga terjangkau tipe suite harganya cukup mahal dari harga standart lokasi lokasi sangat strategis walaupun masuk dalam gang tetapi untuk akses wisata dekat banget akses ke malioboro keraton alkid tempat oleh2 sangat dekat banget cukup jalan kaki bisa klu naik becak juga bisa
Rosa,27,5,lokasi strategis bisa berjalan kaki ke jl malioboro dan pasar bringharjo jika enggan berjalan kaki pun sangat mudah menemui tukang becak didepan hotel kamar bersih tidak begitu luas namun sangat cukup untuk solat makanan saat sarapan beragam dan enak staf ramah tersedia welcome drink meskipun dekat pusat keramaian namun suasana kamar tenang
Anna susanty,123,5,kita kira hotelnya kecil karena letaknya didlm dibelakang mirota malioboro eh bgtu sampe trnyta gede banget parkiran luas semua staff ramaah dari satpam fl ibu yang jaga stand batik hk dll kamarnya bersih sprei sarung bantal handuk oke banget kita tidak pesen sarapan karena masih bulan puasa klo sarapan dianter ke kamar kurang seru mo ke malioboro cm jln 5 menit tidak sampai mobil bisa parkir dihotel recommended ya
AHMAD ZARKASIH,4,5,hotel ini ramah sekali dan rekomended 2 hari saya di hotel khas setiap masuk keluar hotel recepsionis selalu ucap salam ke customer satpam nya sangat membantu customer dekat dengan maliboro juga makanan breakfest nya enak dri 3 hotel yang sudah sya kunjungi ini paling terasa makanan nya enak dan varian nya bnyak untuk anak2 pun ada barang saya yang tertinggal pun di kirim ke jkt kebersihan tanpa di minta pagi hari sudah di bersihkan kamar saya luar biasa dan rekomended hotel khas maliboro ini semoga bisa kembali ke sini lagi terima kasih
Linda Wahyu,50,5,recomend pelayanan bagus ramah2 semua kamar bersih semua fasilitas lancar cm mati lampu sebentar sarapan juga enak minusnya lumayan jauh kalau mau jalan kaki ke malioboro tapi kalau mau sewa motor buat keliling jogja biar tidak ribet bisa minta tolong ke securitynya kok
Irsyad Aufa Ghossan,35,5,positif hotel yang nyaman yang berlokasi dekat dengan malioboro seluruh staff ramah selalu menyapa serta selalu menanyakan kebutuhan customer kamar luas dan tersedia sajadah alquran serta tersedia area khusus untuk sholat didalam kamar google tv oke banget tersedia netflix google premium vidio platinum spotify dll minus menu sarapan kurang variasi tetapi untuk rasa overall oke banget
Ayu Rahmadianti,3,5,dapet harga 500rb kamarnya bersih acnya dingin kamar mandi bersih air lancar pelayanannya oke banget rekomen buat yang mau nginep di jogja tapi budgetnya minim
Novaliana Nadeak,103,5,the best hotel i ever had from entering the hotel until check masuk the staff is very helpful and polite the room is quite big for a family of 4 our room have no safety box the bathroom is clean get amenities but has no hairdryer tv can play youtube there is an empty space where you can sit on or place your extra luggage something the place is very strategic with a walk you can reach malioboro streets beringharjo market bakpia factory titik nol chocolate ndalem tugu station etc the minus is only wet ac but still acceptable but overall this is the place where will be our special place to choose on our trip to jogja
R. Mariyana Indra,15,5,karyawan nya ramah2 kamar ada al quran sajadah terima kasih
Wangsa Dwiwirya,9,5,waw hotel teramah yang pernah saya temui keluar masuk disambut senyum sapa security dan resepsionis menyambut hangat sarapan pagi banyak pilihan dan enak
Teguh Setia,13,4,booking 3 kamar 1 kamar yang dipakai orang tua sprei tidak di ganti ada noda berwarna merah saya sendiri di upgrade ke suite kamar luas dan bersih air panas menurut saya kurang panas walaupun kran sudah full di panas tetap keluar air hangat televisi tidak ada siaran tv lokal hanya ada rcti mnc inews bilamana sedang ada siaran olahraga maka tv otomatis ke blokir seperti nonton tv lokal di indihome
