User Name,Review Count,Rating,Review Text
TANAKA Tanaka,34,3,saya pesan hotel via agoda melihat rating tertinggi disini karena bintang 3 dan melihat ulasan bagus kamar bagus saat datang check masuk tidak bisa di percepat biarpun saya ingin bayar tambahan biaya ac bermslah di hari ke 9 dan akhirnya kami pindah kamar tapi menurutku makin tidak enak mau komplain ud malas ketika mau check keluar jam 12 saya minta negosiasi untuk minta waktu untuk kami sholat 5 menit tapi jawaban nya tidak bisa alasan full mau bayarpun tidak bisa makanan nya selama saya menginap itu itu mulu menu nya ayam ikan ayam ikan ayam ikan enggk ada variatif nya dan soto nya asin sekelas bintang 3 menurutku mirip ke bintang 2 kamar nya sangat kecil padahal pesan nya yang paling bagus menurut aplikasi
Fuad Fauzi,88,5,menginap di sini saat liburan natal 2025 harga lagi mahal dan memang semua hotel naik 50 100 menurut saya kamarnya nyaman sudah ada smart tv jadi cocok untuk anak2 bisa nonton youtube lokasi yang ditengah kota dekat tugu staff hotel dari resepsionis sampai securitynya ramah menu sarapan lengkap tapi tidak banyak berubah di hari berikutnya minusnya di kolam renang yang hanya dewasa dan tempat parkirnya sempit jadi dibantu valet parking
Freshmax Bali,5,5,very comfortable hotel just 3 minute to jl mailboro breakfast is awesome all employees were very nice room was clean there was an issue masuk our bathroom and they fixed it right a way we loved the breakfast room
indrasmara ilham perdana,325,5,kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel meskipun hotel ini bukan hotel syariah peralatan shalat di dalam kamar juga cukup lengkap ada sajadah mukena dan juga al qur an untuk lokasi hotel ini sangat strategis tak jauh dari tugu jogja yang ikonik mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional dan sebelahan persis dengan lupis yang viral kemarin mendapatkan kamar yang dapat view langsung gunung merapi untuk menu sarapan di hotel cukup lengkap meskipun untuk resonya lumayan sempit ada kolam renang untuk anak anak bermain karena tidak begitu luas
ARI,100,5,gila sih khas tugu hotel ini memang bestie banget buat yang cari hotel di deket tugu jogja lokasinya strategis parah mau ke malioboro atau kulineran melipir dikit saja nyampe pokoknya gampang banget aksesnya ke mana mana trus mereka juga punya counter yang khusus jualin oleh oleh dari jogjakarta jadi tidak perlu pusing kalau tidak sempet belanja oleh oleh ya awalnya sih cuma ikut kata pacar yang recommend buat nginep sini eh ternyata beneran dong semua fasilitas dan pelayanannya bikin betah dan worth it abis saya pesan 4 hari 3 malam dan meskipun sarapannya cuma dapat jatah sekali menu breakfast nya itu juara banget isinya full kuliner jawa tengah yang enak enak semua pokoknya kalau liburan ke jogja lagi fix banget saya bakal balik nginep di khas tugu hotel lagi tidak ada lawan deh
Anna,357,4,actually we didn t expect much from this hotel because the only reason we chose this hotel is lupis mbah satinem it s just across this hotel back to hotel the staff were friendly and helpful the room was a bit cramped and little dirty on the wall and the bed sheets the bathroom was not clean enough too you can request to borrow iron but no iron board so just iron on the table or on the bed breakfast were delicious even there were only a few variations of the dishes
Ahma Muniyatini,13,1,lorong menuju kamar panas hotelnya pelit ac di lorong koridor tidak dinyalain hotel yang sangat pelit di lorong dari lift menuju kamar ac nya tidak dinyalakan tetapi area nya full tertutup kaca kalau tidak mau rugi ada ac di lorong yaa buatkan jendela lahh hargamu itu udah termasuk fantastis mahal banget lohh hotel di yogyakarta itu udah mahal mahal pol loh di tik tok content creatornya cuma mau fyp saja tidak detail ngasih tau nya dengan harga semahal ini tidak ada kulkas parah kalau mahal bagus oke ini tidak jatohnya meres woy
Alex WS (Alex),122,2,punya pengalaman tidak menyenangkan di hotel ini saya menginap 2 hari hari kedua tidak doyan makan karena tahu bahwa handuk yang sudah kotor bekas pakai sehari dan dipakai ngelap gelas dilipat rapi lagi dan ditaruh seolah olah handuk baru sangat tidak nyaman mau komplain sudah malam bed cover juga terlihat kotor komplain saya ditanggapi dengan ramah tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar pengalaman saya menginap di hotel lainnya handuk diganti setiap hari
A,5,1,sangat tidak worth it dengan harga segitu jatuh nya kaya hotel tua kacaau breakfast pun lauknya tidak ada yang enak kalau tidak karna kecapean mungkin bakal cari hotel lain dan tidak bakal check masuk dsni kacau kacau sangat memeras harga 1jt permalam gk ada apa semua tertutup view nya pun biasa saja
Corie Anissa,73,3,maaf harus memberikan review ini awal check masuk bed cover banyak noda lama mau minta ganti tapi sudah capek mau segera mandi dan istirahat sarapan saat bfast rasanya enak tapi mungkin bukan selera saya ya overall sebenarnya sudah baik tapi kebersihan tidak dijaga dengan baik handuk sudah kusam semoga bisa nginep kembali dengan performa terbaik
agung jaya,706,5,lokasinya strategis dekat dengan tugu pasar kranggan jl mangkubumi cukup banyak hotel di sekitar perempatan tugu belum sempat nginap disini karena kemarin hanya ngantar saja oleh satpam nya diarahkan ke tempat parkir yang kosong
