User Name,Review Count,Rating,Review Text
TANAKA Tanaka,33,3,saya pesan hotel via agoda melihat rating tertinggi disini karena bintang 3 dan melihat ulasan bagus kamar bagus saat datang check masuk tidak bisa di percepat biarpun saya ingin bayar tambahan biaya ac bermslah di hari ke 9 dan akhirnya kami pindah kamar tapi menurutku makin tidak enak mau komplain ud malas ketika mau check keluar jam 12 saya minta negosiasi untuk minta waktu untuk kami sholat 5 menit tapi jawaban nya tidak bisa alasan full mau bayarpun tidak bisa makanan nya selama saya menginap itu itu mulu menu nya ayam ikan ayam ikan ayam ikan enggk ada variatif nya dan soto nya asin sekelas bintang 3 menurutku mirip ke bintang 2 kamar nya sangat kecil padahal pesan nya yang paling bagus menurut aplikasi
Ahma Muniyatini,13,1,lorong menuju kamar panas hotelnya pelit ac di lorong koridor tidak dinyalain hotel yang sangat pelit di lorong dari lift menuju kamar ac nya tidak dinyalakan tetapi area nya full tertutup kaca kalau tidak mau rugi ada ac di lorong yaa buatkan jendela lahh hargamu itu udah termasuk fantastis mahal banget lohh hotel di yogyakarta itu udah mahal mahal pol loh di tik tok content creatornya cuma mau fyp saja tidak detail ngasih tau nya dengan harga semahal ini tidak ada kulkas parah kalau mahal bagus oke ini tidak jatohnya meres woy
indrasmara ilham perdana,326,5,kayaknya baru kali ini nemuin hotel dan di speaker lorongnya bunyi adzan sedikit terkejut ketika masuk waktu shalat terdengar adzan dari speaker hotel meskipun hotel ini bukan hotel syariah peralatan shalat di dalam kamar juga cukup lengkap ada sajadah mukena dan juga al qur an untuk lokasi hotel ini sangat strategis tak jauh dari tugu jogja yang ikonik mau kulineran depan hotel ada pasar kranggan yang banyak kuliner tradisional dan sebelahan persis dengan lupis yang viral kemarin mendapatkan kamar yang dapat view langsung gunung merapi untuk menu sarapan di hotel cukup lengkap meskipun untuk resonya lumayan sempit ada kolam renang untuk anak anak bermain karena tidak begitu luas
A,5,1,sangat tidak worth it dengan harga segitu jatuh nya kaya hotel tua kacaau breakfast pun lauknya tidak ada yang enak kalau tidak karna kecapean mungkin bakal cari hotel lain dan tidak bakal check masuk dsni kacau kacau sangat memeras harga 1jt permalam gk ada apa semua tertutup view nya pun biasa saja
ARI,100,5,gila sih khas tugu hotel ini memang bestie banget buat yang cari hotel di deket tugu jogja lokasinya strategis parah mau ke malioboro atau kulineran melipir dikit saja nyampe pokoknya gampang banget aksesnya ke mana mana trus mereka juga punya counter yang khusus jualin oleh oleh dari jogjakarta jadi tidak perlu pusing kalau tidak sempet belanja oleh oleh ya awalnya sih cuma ikut kata pacar yang recommend buat nginep sini eh ternyata beneran dong semua fasilitas dan pelayanannya bikin betah dan worth it abis saya pesan 4 hari 3 malam dan meskipun sarapannya cuma dapat jatah sekali menu breakfast nya itu juara banget isinya full kuliner jawa tengah yang enak enak semua pokoknya kalau liburan ke jogja lagi fix banget saya bakal balik nginep di khas tugu hotel lagi tidak ada lawan deh
yeni saraswati,140,5,baru pertama kali nginep disini nginep tgl 14 15juli 2025 saat banget weekday dan anak2 baru masuk sekolah jadi hotel kerasa lega dan sepi tapi tenang enak karna itu yang kita cari pertama kali datang parkiran mobilnya tidak banyak mobil sih mungkin karna hari senin juga saat mau check masuk parkirnya itu dihalaman depan area hotel gitu tidak ada basement jadi kalau hujan ya kehujanan kalau panas terik ya pastinya kepanasan juga dateng sekitar jam 1an kita confrim dulu ke resepsionis seperti biasa dimintai ktp juga bukti booking trs kita disuruh nunggu karna kamar baru dibersihkan kita nunggu tidak lama 15menitan juga ada sih trs dikasih kartu akses kamar juga dikasih tau breakfast mulai jam 6 sampai jam 10pagi trs naik ke lift susah banget kartunya saat mau di tap sampe 3x nutup sendiri pintu lift untung ada stafnya yang tau trs diganti sama kartu baru dan dibantu stafnya resepsionis ketemu sama staf stafnya satpam ramah banget dan anakku juga disapa diajak ngobrol dan memang seharusnya kalau orang perhotelan memang ramah2 ya saat masuk lift lift besar bersih cctv juga ada kaya hotel lain yang pernah aku datengin ya lantai 4 itu selalu tidak ada ada yang bilang kalau pamali kalau ada lantai 4 nya kamar bersih rapi akses wifi juga lancar tv bisa lokal apa youtube juga bisa kamar mandi bersih rapi toiletries juga lengkap tisu kamar mandi masih banyak tisu di kamar juga masih banyak yang keren ini sih ada mukenah sama sajadah belum pernah nginep hotel ada peralatan sholatnya keren sih ini hotel ini strategis banget karna memang dekat dengan tugu jogja ya jalan kaki saja tidak nyampe 10menit udah nyampe sore kami jalan ke tugu deket banget dekat hotel banyak kuliner juga dekat dengan pasar kranggan yang mana banyak kuliner nya juga angkringan juga banyak pokoknya akses kuliner banyak pilihannya tinggal jalan kaki saja kami ada di lantai 6 pemandangan jogja malam hari dan pagi hari indah banget keliatan jelas di kamar kami breakfast mulai jam 6 sampai 10 pagi kita pagi jam 06 30 turun cek liat ke resto sepi hanya beberapa tamu tidak penuh setengah saja gk ada tapi kami pilih jalan2 dulu balik hotel 07 30 baru ke restonya buat breakfast lengkap banget sih buat breakfastnya bubur nasi putih nasi goreng pecel gorengan ubi rebus kerupuk sambal air mineral infuse water orange juice milk aneka roti omelette bihun goreng buah pudding dll dan juga ada kids corner makanannya tidak banyak sih tapi untungnya sikecil doyan ada ayam kremes mac n cheese donat buah juga ada trs ada coklat cair juga tapi sengaja tidak ambil kursinya banyak ada yang kursi ada yang sofa juga kesorot matahari langsung sih restonya ini tapi gapapa masih tetep bagus kok setengahnya makan didatengin stafnya diminta ngisi penilaian makanan di resto tsb sikecil juga dikasih balon agak lama sikecil ditawarin mewarnai dikasih kertas juga dipinjemin crayon stafnya semuanya ramah entah stafnya atau anak training tidak tau tapi ramah ramah check keluar jam 12 siang jam 11 kita udah siap mau keluar kamar trs dapet telpon ya kaya stafnya mengingatkan kalau check keluar dijam 12 siang kita saat mau check keluar di kasih form penilaian hotel udah gitu kita disuruh nunggu dulu karna kamarnya baru di cek sama stafnya kata suami memang harusnya gitu sih mungkin takutnya kita ngrusakin barang atau bikin bed kotor dll setelah staf yang ada dikamar kami confrim oke baru kita boleh pulang karna selama ini kalau nginep tidak pernah gini sih cuma karna suami anak hotel juga jadi paham semuanya bagus keren cocok untuk di datangin lagi semoga lebih baik lagi kedepannya
Alex WS (Alex),122,2,punya pengalaman tidak menyenangkan di hotel ini saya menginap 2 hari hari kedua tidak doyan makan karena tahu bahwa handuk yang sudah kotor bekas pakai sehari dan dipakai ngelap gelas dilipat rapi lagi dan ditaruh seolah olah handuk baru sangat tidak nyaman mau komplain sudah malam bed cover juga terlihat kotor komplain saya ditanggapi dengan ramah tapi saya kapok menginap lagi disini karena masih terbayang handuk kotor yang dipakai membersihkan gelas di kamar pengalaman saya menginap di hotel lainnya handuk diganti setiap hari
Corie Anissa,72,3,maaf harus memberikan review ini awal check masuk bed cover banyak noda lama mau minta ganti tapi sudah capek mau segera mandi dan istirahat sarapan saat bfast rasanya enak tapi mungkin bukan selera saya ya overall sebenarnya sudah baik tapi kebersihan tidak dijaga dengan baik handuk sudah kusam semoga bisa nginep kembali dengan performa terbaik
agung jaya,705,5,lokasinya strategis dekat dengan tugu pasar kranggan jl mangkubumi cukup banyak hotel di sekitar perempatan tugu belum sempat nginap disini karena kemarin hanya ngantar saja oleh satpam nya diarahkan ke tempat parkir yang kosong
M Amin,204,5,kamar bersih dekat malioboro dan pelayanan ramah senyum dan sopan yang mencari hotel di yogyakarta saya rekomendasi kan hotel ini
